,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
15,0 days 00:15:44.766000,24.5,50.0,1018.2,False,40.0,129,0.8
17,0 days 00:17:44.769000,24.6,50.0,1018.2,False,40.4,0,1.0
18,0 days 00:18:44.792000,24.7,50.0,1018.2,False,40.7,243,0.4
21,0 days 00:21:44.771000,24.5,47.0,1018.3,False,41.4,157,0.9
22,0 days 00:22:44.795000,24.5,47.0,1018.4,False,41.2,219,1.1
25,0 days 00:25:44.784000,24.8,45.0,1018.3,False,41.4,96,0.7
26,0 days 00:26:44.813000,24.8,45.0,1018.0,False,41.6,121,1.0
40,0 days 00:40:44.919000,24.3,47.0,1018.3,False,42.4,260,1.2
42,0 days 00:42:44.963000,24.4,47.0,1018.3,False,42.5,92,0.4
43,0 days 00:43:44.959000,24.4,47.0,1018.2,False,42.7,121,1.2
46,0 days 00:46:45.005000,24.2,48.0,1018.1,False,42.2,169,1.2
48,0 days 00:48:45.025000,24.2,49.0,1018.1,False,43.0,183,0.4
64,0 days 01:04:45.132000,24.0,49.0,1017.9,False,43.2,232,1.5
66,0 days 01:06:45.133000,24.2,48.0,1018.0,False,43.7,98,1.1
67,0 days 01:07:45.160000,24.3,48.0,1018.1,False,44.1,132,0.6
69,0 days 01:09:45.190000,24.5,47.0,1017.8,False,44.4,116,1.6
70,0 days 01:10:45.199000,24.6,46.0,1017.9,False,44.5,276,1.6
72,0 days 01:12:45.197000,24.6,46.0,1018.0,False,44.6,153,1.1
73,0 days 01:13:45.199000,24.5,46.0,1018.0,False,44.3,180,0.7
74,0 days 01:14:45.225000,24.5,47.0,1018.0,False,44.3,141,0.8
77,0 days 01:17:45.260000,24.6,51.0,1018.0,False,44.0,113,1.3
15,0 days 00:15:44.766000,24.5,50.0,1018.2,False,40.0,129,0.8
16,0 days 00:16:44.768000,24.5,50.0,1018.2,False,40.4,266,1.1
18,0 days 00:18:44.792000,24.7,50.0,1018.2,False,40.7,243,0.4
20,0 days 00:20:44.793000,24.5,46.0,1018.3,False,41.5,168,0.3
