,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:15.002000,VER,1,0 days 00:01:58.029000,1.0,1.0,0 days 00:15:28.184000,,50.194,19.878,47.957,0 days 00:16:07.398000,0 days 00:16:27.167000,0 days 00:17:15.124000,262.0,298.0,300.0,193.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:28.184000,2025-03-14 01:30:56.193,1,,False,,False,False,118.029,118.029
1,0 days 00:18:34.773000,VER,1,0 days 00:01:19.771000,2.0,1.0,,,27.951,17.793,34.027,0 days 00:17:42.953000,0 days 00:18:00.746000,0 days 00:18:34.773000,282.0,321.0,304.0,320.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:15.002000,2025-03-14 01:32:43.011,1,,False,,False,True,79.771,79.771
2,0 days 00:20:58.688000,VER,1,0 days 00:02:23.915000,3.0,1.0,,,49.204,37.267,57.444,0 days 00:19:23.977000,0 days 00:20:01.244000,0 days 00:20:58.688000,149.0,147.0,306.0,227.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:34.773000,2025-03-14 01:34:02.782,1,,False,,False,True,143.915,143.91500000000002
3,0 days 00:22:17.837000,VER,1,0 days 00:01:19.149000,4.0,1.0,,,27.343,17.455,34.351,0 days 00:21:26.031000,0 days 00:21:43.486000,0 days 00:22:17.837000,285.0,326.0,310.0,326.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:20:58.688000,2025-03-14 01:36:26.697,1,,False,,False,True,79.149,79.149
4,0 days 00:24:46.613000,VER,1,0 days 00:02:28.776000,5.0,1.0,,,51.751,43.081,53.944,0 days 00:23:09.588000,0 days 00:23:52.669000,0 days 00:24:46.613000,121.0,129.0,304.0,231.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:22:17.837000,2025-03-14 01:37:45.846,1,,False,,False,True,148.776,148.776
5,0 days 00:26:04.938000,VER,1,0 days 00:01:18.325000,6.0,1.0,,,27.206,17.528,33.591,0 days 00:25:13.819000,0 days 00:25:31.347000,0 days 00:26:04.938000,284.0,322.0,307.0,324.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:24:46.613000,2025-03-14 01:40:14.622,1,,False,,False,True,78.325,78.32499999999999
6,0 days 00:40:40.713000,VER,1,,7.0,1.0,,0 days 00:27:50.847000,42.055,20.885,,0 days 00:26:47.140000,0 days 00:27:08.057000,,207.0,264.0,,237.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:26:04.938000,2025-03-14 01:41:32.947,15,,False,,False,False,,
7,0 days 00:42:23.238000,VER,1,0 days 00:01:42.525000,8.0,2.0,0 days 00:40:42.658000,,38.876,22.698,40.951,0 days 00:41:19.589000,0 days 00:41:42.287000,0 days 00:42:23.238000,219.0,275.0,304.0,197.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:40:42.658000,2025-03-14 01:56:10.667,1,,False,,False,False,102.525,102.525
8,0 days 00:43:40.934000,VER,1,0 days 00:01:17.696000,9.0,2.0,,,26.863,17.533,33.3,0 days 00:42:50.101000,0 days 00:43:07.634000,0 days 00:43:40.934000,283.0,320.0,306.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:23.238000,2025-03-14 01:57:51.247,12,,False,,False,True,77.696,77.696
9,0 days 00:46:15.971000,VER,1,,10.0,2.0,,0 days 00:45:54.037000,47.743,34.882,72.44,0 days 00:44:28.765000,0 days 00:45:03.640000,0 days 00:46:15.971000,147.0,122.0,,210.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:43:40.934000,2025-03-14 01:59:08.943,1,,False,,False,False,,155.065
10,0 days 00:48:22.779000,VER,1,0 days 00:02:06.808000,11.0,3.0,0 days 00:46:17.886000,,48.434,30.27,48.104,0 days 00:47:04.405000,0 days 00:47:34.675000,0 days 00:48:22.779000,184.0,141.0,304.0,130.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:46:15.971000,2025-03-14 02:01:43.980,1,,False,,False,False,126.808,126.80799999999999
11,0 days 01:04:07.942000,VER,1,,12.0,3.0,,0 days 00:50:00.837000,26.845,27.136,,0 days 00:48:49.700000,0 days 00:49:16.842000,,284.0,225.0,,324.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:48:22.779000,2025-03-14 02:03:50.788,15,,False,,False,False,,
12,0 days 01:06:15.810000,VER,1,0 days 00:02:07.868000,13.0,4.0,0 days 01:04:24.495000,,62.638,18.885,46.345,0 days 01:05:10.580000,0 days 01:05:29.465000,0 days 01:06:15.810000,261.0,285.0,288.0,195.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:04:24.495000,2025-03-14 02:19:52.504,1,,False,,False,False,127.868,127.868
13,0 days 01:07:39.052000,VER,1,0 days 00:01:23.242000,14.0,4.0,,,28.907,18.449,35.886,0 days 01:06:44.717000,0 days 01:07:03.166000,0 days 01:07:39.052000,271.0,294.0,286.0,286.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:06:15.810000,2025-03-14 02:21:43.819,1,,False,,False,True,83.242,83.242
14,0 days 01:09:02.399000,VER,1,0 days 00:01:23.347000,15.0,4.0,,,28.947,18.373,36.027,0 days 01:08:07.999000,0 days 01:08:26.372000,0 days 01:09:02.399000,267.0,289.0,287.0,287.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:07:39.052000,2025-03-14 02:23:07.061,1,,False,,False,True,83.347,83.34700000000001
15,0 days 01:10:25.651000,VER,1,0 days 00:01:23.252000,16.0,4.0,,,29.322,18.413,35.517,0 days 01:09:31.721000,0 days 01:09:50.134000,0 days 01:10:25.651000,270.0,291.0,287.0,277.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:09:02.399000,2025-03-14 02:24:30.408,1,,False,,False,True,83.252,83.25200000000001
16,0 days 01:11:48.316000,VER,1,0 days 00:01:22.665000,17.0,4.0,,,28.819,18.279,35.567,0 days 01:10:54.470000,0 days 01:11:12.749000,0 days 01:11:48.316000,,294.0,289.0,287.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:10:25.651000,2025-03-14 02:25:53.660,1,,False,,False,True,82.665,82.66499999999999
17,0 days 01:13:10.844000,VER,1,0 days 00:01:22.528000,18.0,4.0,,,28.874,18.203,35.451,0 days 01:12:17.190000,0 days 01:12:35.393000,0 days 01:13:10.844000,271.0,296.0,288.0,288.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:11:48.316000,2025-03-14 02:27:16.325,1,,False,,False,True,82.528,82.52799999999999
18,0 days 01:14:33.187000,VER,1,0 days 00:01:22.343000,19.0,4.0,,,28.767,18.144,35.432,0 days 01:13:39.611000,0 days 01:13:57.755000,0 days 01:14:33.187000,272.0,301.0,287.0,300.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:13:10.844000,2025-03-14 02:28:38.853,12,,False,,False,True,82.343,82.343
19,0 days 01:17:01.927000,VER,1,0 days 00:02:28.740000,20.0,4.0,,,35.856,23.182,89.702,0 days 01:15:09.043000,0 days 01:15:32.225000,0 days 01:17:01.927000,201.0,228.0,6.0,239.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:14:33.187000,2025-03-14 02:30:01.196,1,,False,,False,True,148.74,148.74
20,0 days 01:18:28.383000,VER,1,,21.0,4.0,,0 days 01:18:28.383000,32.751,19.242,,0 days 01:17:34.890000,0 days 01:17:54.102000,,263.0,281.0,,243.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:17:01.927000,2025-03-14 02:32:29.936,1,,False,,False,False,,
21,0 days 00:16:32.768000,NOR,4,,1.0,1.0,0 days 00:14:47.742000,,,21.472,42.168,,0 days 00:15:50.744000,0 days 00:16:32.806000,151.0,264.0,298.0,203.0,False,MEDIUM,1.0,True,McLaren,0 days 00:14:47.742000,2025-03-14 01:30:15.751,1,,False,,False,False,,
22,0 days 00:17:54.664000,NOR,4,0 days 00:01:21.896000,2.0,1.0,,,29.317,18.02,34.559,0 days 00:17:02.085000,0 days 00:17:20.105000,0 days 00:17:54.664000,278.0,318.0,304.0,311.0,True,MEDIUM,2.0,True,McLaren,0 days 00:16:32.768000,2025-03-14 01:32:00.777,1,,False,,False,True,81.896,81.896
23,0 days 00:19:56.297000,NOR,4,0 days 00:02:01.633000,3.0,1.0,,,42.313,30.096,49.224,0 days 00:18:36.977000,0 days 00:19:07.073000,0 days 00:19:56.297000,181.0,148.0,301.0,275.0,False,MEDIUM,3.0,True,McLaren,0 days 00:17:54.664000,2025-03-14 01:33:22.673,1,,False,,False,True,121.633,121.63300000000001
24,0 days 00:21:15.062000,NOR,4,0 days 00:01:18.765000,4.0,1.0,,,27.49,17.793,33.482,0 days 00:20:23.787000,0 days 00:20:41.580000,0 days 00:21:15.062000,283.0,317.0,305.0,319.0,True,MEDIUM,4.0,True,McLaren,0 days 00:19:56.297000,2025-03-14 01:35:24.306,1,,False,,False,True,78.765,78.765
25,0 days 00:23:23.487000,NOR,4,0 days 00:02:08.425000,5.0,1.0,,,43.54,29.682,55.203,0 days 00:21:58.602000,0 days 00:22:28.284000,0 days 00:23:23.487000,124.0,110.0,303.0,285.0,False,MEDIUM,5.0,True,McLaren,0 days 00:21:15.062000,2025-03-14 01:36:43.071,1,,False,,False,True,128.425,128.425
26,0 days 00:24:41.740000,NOR,4,0 days 00:01:18.253000,6.0,1.0,,,27.298,17.626,33.329,0 days 00:23:50.785000,0 days 00:24:08.411000,0 days 00:24:41.740000,285.0,321.0,304.0,321.0,True,MEDIUM,6.0,True,McLaren,0 days 00:23:23.487000,2025-03-14 01:38:51.496,1,,False,,False,True,78.253,78.253
27,0 days 00:39:12.338000,NOR,4,,7.0,1.0,,0 days 00:26:23.803000,40.668,22.289,,0 days 00:25:22.691000,0 days 00:25:44.887000,,206.0,308.0,,281.0,False,MEDIUM,7.0,True,McLaren,0 days 00:24:41.740000,2025-03-14 01:40:09.749,15,,False,,False,False,,
28,0 days 00:41:36.009000,NOR,4,0 days 00:02:23.671000,8.0,2.0,0 days 00:39:37.006000,,86.474,19.314,37.883,0 days 00:40:38.812000,0 days 00:40:58.126000,0 days 00:41:36.009000,255.0,300.0,303.0,78.0,False,MEDIUM,8.0,False,McLaren,0 days 00:39:37.006000,2025-03-14 01:55:05.015,1,,False,,False,False,143.671,143.67100000000002
29,0 days 00:42:58.791000,NOR,4,0 days 00:01:22.782000,9.0,2.0,,,27.268,17.703,37.811,0 days 00:42:03.277000,0 days 00:42:20.980000,0 days 00:42:58.791000,285.0,319.0,229.0,322.0,False,MEDIUM,9.0,False,McLaren,0 days 00:41:36.009000,2025-03-14 01:57:04.018,1,,False,,False,True,82.782,82.78200000000001
30,0 days 00:44:52.902000,NOR,4,0 days 00:01:54.111000,10.0,2.0,,,38.811,27.828,47.472,0 days 00:43:37.602000,0 days 00:44:05.430000,0 days 00:44:52.902000,190.0,182.0,302.0,202.0,False,MEDIUM,10.0,False,McLaren,0 days 00:42:58.791000,2025-03-14 01:58:26.800,12,,False,,False,True,114.111,114.11099999999999
31,0 days 00:46:11.149000,NOR,4,0 days 00:01:18.247000,11.0,2.0,,,27.362,17.644,33.241,0 days 00:45:20.264000,0 days 00:45:37.908000,0 days 00:46:11.149000,285.0,318.0,303.0,321.0,True,MEDIUM,11.0,False,McLaren,0 days 00:44:52.902000,2025-03-14 02:00:20.911,1,,False,,False,True,78.247,78.247
32,0 days 01:02:56.640000,NOR,4,,12.0,2.0,,0 days 00:47:42.184000,31.757,21.072,,0 days 00:46:43.057000,0 days 00:47:04.243000,,229.0,273.0,,287.0,False,MEDIUM,12.0,False,McLaren,0 days 00:46:11.149000,2025-03-14 02:01:39.158,15,,False,,False,False,,
33,0 days 01:05:20.247000,NOR,4,0 days 00:02:23.607000,13.0,3.0,0 days 01:03:35.258000,,82.546,18.875,42.186,0 days 01:04:19.186000,0 days 01:04:38.061000,0 days 01:05:20.247000,266.0,265.0,312.0,107.0,False,SOFT,1.0,True,McLaren,0 days 01:03:35.258000,2025-03-14 02:19:03.267,1,,False,,False,False,143.607,143.607
34,0 days 01:06:56.601000,NOR,4,0 days 00:01:36.354000,14.0,3.0,,,33.423,22.929,40.002,0 days 01:05:53.670000,0 days 01:06:16.599000,0 days 01:06:56.601000,126.0,244.0,307.0,291.0,False,SOFT,2.0,True,McLaren,0 days 01:05:20.247000,2025-03-14 02:20:48.256,1,,False,,False,True,96.354,96.35400000000001
35,0 days 01:08:14.119000,NOR,4,0 days 00:01:17.518000,15.0,3.0,,,27.089,17.558,32.871,0 days 01:07:23.690000,0 days 01:07:41.248000,0 days 01:08:14.119000,285.0,320.0,307.0,325.0,True,SOFT,3.0,True,McLaren,0 days 01:06:56.601000,2025-03-14 02:22:24.610,1,,False,,False,True,77.518,77.518
36,0 days 01:10:13.269000,NOR,4,0 days 00:01:59.150000,16.0,3.0,,,40.744,26.417,51.989,0 days 01:08:54.863000,0 days 01:09:21.280000,0 days 01:10:13.269000,204.0,184.0,169.0,288.0,False,SOFT,4.0,True,McLaren,0 days 01:08:14.119000,2025-03-14 02:23:42.128,1,,False,,False,True,119.15,119.15
